CODE_OA;NUM_OA;LIAISON;SENS;PR_OA;ABS_DEB;NUM_EXPLOIT;NOM_USAGE;FAMILLE;TYPE_OUVRAGE;MATERIAUX;DATE_MS;NBRE_TABLIERS;NBRE_TRAVEE;GABARIT;LONGUEUR;LARGEUR;SECT_COURANTE;IQOA;NOTE_URGENCE
112;A1_VIA_133.2;5;3;131 +0552;131487;OF 6 Canal d''irrigation 1;OF 6 Canal d''irrigation 1;VIA;Viaduc à poutres BA;Béton armé;;2;1;0;23.44;12.6;12.6;2 S;35
113;A1_PP_133.6;5;3;131 +0184;131119;PP 34;PP 32;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;3.01;44.7;44.7;2;11
114;A1_PV_134.4;5;3;130 +0317;130250;PV 33;PV 49;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;4.4;35.66;35.66;2;14
115;A1_PI_136.2;5;3;128 +0553;128480;PI 7;PI 8;PI;PIPO (Portique Ouvert);Béton armé;;2;1;0;11.68;32.7;32.7;2;6
116;A1_VIA_136.5;5;3;128 +0253;128180;OF 7 Canald''irrigation 2;OF 7 Canald''irrigation 2;VIA;Viaduc à poutres BA;Béton armé;;2;1;0;23.13;12.6;12.6;1;0
117;A1_PP_137.0;5;3;127 +0739;127666;PP 35;PP 33;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.86;35.69;35.69;1;8
118;A1_PV_137.8;5;3;126 +0915;126845;PV 34;PV 50;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;4.4;35.66;35.66;1;3
119;A1_PV_138.9;5;3;125 +0832;125759;PV 35;PV 51;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;5.18;35.72;35.72;1;3
120;A1_PP_140.1;5;3;124 +0598;124533;PP 36;PP 34;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.4;35.62;35.62;1;11
121;A1_PP_141.3;5;3;123 +0404;123337;PP 37;PP 35;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.4;35.62;35.62;2;9
122;A1_PV_143.2;5;3;121 +0565;121509;PV 36;PV 52;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;4.08;37.12;37.12;2;14
123;A1_PP_143.8;5;3;120 +0913;120854;PP 38;PP 36;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.4;35.62;35.62;2;20
124;A1_PS_145.0;5;3;119 +0745;119671;PS 7 du C3 RP 2;PS 9;PS;PIBA PSBA (Dalle Béton Armé);Béton armé;;1;2;0;36.97;10;10;2 S;54
125;A1_PS_146.2;5;3;118 +0608;118519;OA 0;PS10;PS;PIDP PSDP (Dalle Précontrainte);Béton armé;;1;4;0;68;10;10;2 S;27
126;A1_PS_146.1;5;3;117 +0808;117719;OA 1;PS 11;PS;PIDP PSDP (Dalle Précontrainte);Béton précontraint;;2;4;0;87;8.8;8.8;2;31
127;A1_PP_147.9;5;3;116 +0875;116791;PP 1;PP 37;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.94;36.86;36.86;2;14
