CD_PT_SING_INF__CODE;LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;NOM_USAGE;LIBELLE;COMMENTAIRE
PS;3;3;2180;PS 1;Desserte Forêt Bouskoura;
PAS;3;3;3040;PAS2;Passerelle piéton N°2;
PS;3;3;4782;PS 2;Piste;
PS;3;3;5933;PS 3;CT 1031;
PS;3;3;7683;PS 4;Bouskoura;
ECH;3;3;7683;A7-1;Bouskoura;
PS;3;3;9312;PS 5;Piste;
PV;3;3;12410;PV1;;
GARE;3;3;13115;GARE - SE;Gare de péage sur échangeur de Aéroport Med V;
PV;3;3;13115;PV2;;
ECH;3;3;13115;A7-2;l’aéroport Med V;
PS;3;3;13115;PS 6;Echangeur aéroport Med V;
PS;3;3;14133;PS 7;Piste;
PV;3;3;14133;PV3;;
BPV;3;3;15500;GARE - BPV;Gare de péage pleine voie de Bouskoura;
PS;3;3;16998;PS 8;CT 1215;
PS;3;3;19633;PS 9;CT 1213;
PS;3;3;21494;PS 10;Echangeur Berrechid Nord;
ECH;3;3;21500;A7-3;Berrechid Est;
PS;3;3;22356;PS 11;Piste;
PS;3;3;23479;PS 12;Piste;
PS;3;3;24680;PS 13;RN 9;
PS;3;3;25790;PS 14;Piste;
PS;3;3;27328;PS 15;Piste;
PS;3;3;29544;PS 17;RP 3602;
PS;3;3;30885;PS 18;CT 1210;
PS;3;3;32289;PS 19;RN 9;
ECH;3;3;32300;A7-4;Berrechid Nord;
PS;3;3;32764;PS 20;Echangeur Berrechid Est;
PS;3;3;33857;PS 21;CT 1201;
BPV;3;3;34500;GARE - BPV;Gare de péage pleine voie de Berrechid;
AIRE;3;3;35500;A7-R1;Aire de Berrechid;
PS;3;3;35980;PS 22;Piste;
PS;3;3;37511;PS 23;Piste;
PS;3;3;38370;PS 24;Piste;
PS;3;3;40457;PS 25;Piste;
PS;3;3;43982;PS 26;Piste;
PS;3;3;45230;PS 27;Piste;
PS;3;3;47781;PS 28;Piste;
