FAM_DEC_INF__FAM_DEC;CD_DEC;LIBELLE
PG;BESANÇON;Peloton Besançon
PG;BOURG;Peloton Bourg
PG;BULGNÉVILLE;Peloton Bulgnéville
PG;CHALON;Peloton Chalon
PG;COURLAOUX;Peloton Courlaoux
PG;COURTENAY;Peloton Courtenay
PG;CRS 4;Crs 4
PG;CRS 45;Crs 45
PG;CRS 5;Crs 5
PG;DAGNEUX;Peloton Dagneux
PG;DIJON;Peloton Dijon
PG;DOLE;Peloton Dole
PG;LANGRES;Peloton Langres
PG;LEVET;Peloton Levet
PG;MÂCON;Peloton Mâcon
PG;MONTEREAU;Peloton Montereau
PG;MONTMARAULT;Peloton Montmarault
PG;NEMOURS;Peloton Nemours
PG;PANNES;Peloton Pannes
PG;POUILLY;Peloton Pouilly
PG;RIOM;Peloton Riom
PG;SENS;Peloton Sens
PG;ST.MARTIN-DU-FR;Peloton St.Martin-Du-Fresne
PG;TOUL;Peloton Toul
PG;TROYES;Peloton Troyes
PG;VALLON-EN-SULLY;Peloton Vallon-En-Sully
PG;VILLARS;Peloton Villars
PG;VILLEFRANCHE;Peloton Villefranche
REG;10;Paris
REG;40;Rhône
REG;50;Rhin
CONCES;A714;Non Renseigné
COMMU;25461;Pompierre-Sur-Doubs
COMMU;25547;Sochaux
COMMU;25552;Sourans
COMMU;25622;Villers-Buzon
COMMU;71265;La Loyere
COMMU;71270;Macon
COMMU;71300;Le Miroir
COMMU;71305;Montbellet
COMMU;71372;Romaneche-Thorins
COMMU;71379;Sagy
COMMU;71383;Saint-Albain
COMMU;71384;Saint-Ambreuil
COMMU;71444;Saint-Loup-De-Varennes
COMMU;71448;Saint-Martin-Belle-Roche
COMMU;71475;Saint-Remy
COMMU;71481;Saint-Symphorien-D''Ancelles
COMMU;71494;La Salle
COMMU;71497;Sance
COMMU;71506;Savigny-En-Revermont
COMMU;71512;Sennecey-Le-Grand
COMMU;71513;Senozan
COMMU;71520;Sevrey
COMMU;71543;Tournus
COMMU;71550;Uchizy
COMMU;71555;Varennes-Le-Grand
COMMU;71576;Le Villars
COMMU;71583;Vinzelles
COMMU;71584;Vire
COMMU;71591;Fleurville
COMMU;77021;Barbey
COMMU;77034;Blandy
COMMU;77086;La Chapelle-Gauthier
COMMU;77099;Chateau-Landon
COMMU;77100;Le Chatelet-En-Brie
COMMU;77103;Chatillon-La-Borde
COMMU;77122;Combs-La-Ville
COMMU;77145;Crisenoy
COMMU;77156;Darvault
COMMU;77164;Echouboulains
COMMU;77165;Les Ecrennes
COMMU;77175;Evry-Gregy-Sur-Yerre
COMMU;77194;Forges
COMMU;77195;Fouju
COMMU;77210;La Grande-Paroisse
COMMU;77212;Gravon
COMMU;77251;Lieusaint
COMMU;77279;Marolles-Sur-Seine
COMMU;77293;Misy-Sur-Yonne
COMMU;77295;Moisenay
COMMU;77296;Moissy-Cramayel
COMMU;77305;Montereau-Fault-Yonne
COMMU;77306;Montereau-Sur-Le-Jard
COMMU;77354;Pamfou
COMMU;77359;Perthes
COMMU;77384;Reau
COMMU;77409;Saint-Germain-Laval
COMMU;77410;Saint-Germain-Laxis
COMMU;77435;Saint-Sauveur-Sur-Ecole
COMMU;77453;Sivry-Courtry
COMMU;77458;Souppes-Sur-Loing
COMMU;77467;La Tombe
COMMU;77480;Valence-En-Brie
COMMU;77495;Vert-Saint-Denis
COMMU;88003;Aingeville
COMMU;88010;Aouze
COMMU;88013;Aroffe
COMMU;88020;Autreville
COMMU;21464;Nuits-Saint-Georges
COMMU;21469;Orgeux
COMMU;21472;Orville
COMMU;21473;Ouges
