LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;ABS_FIN;CD_TPC_INF__CODE;LARGEUR
A31;3;198270;198370;ITPC;
A31;3;200696;200796;ITPC;
A31;3;202535;202635;ITPC;
A31;3;81162;81262;ITPC;
A46;3;19450;19550;ITPC;
A36;3;167300;167400;ITPC;
A6;3;387400;387500;ITPC;
A6;3;54950;55050;ITPC;
A6;3;143750;143850;ITPC;
A6;3;239300;239400;ITPC;
A5;3;98710;98810;ITPC;
A6;3;273770;273870;ITPC;
A5;3;189348;189448;ITPC;
A5;3;28810;28910;ITPC;
A40;3;192400;192500;ITPC;
A40;3;194405;194505;ITPC;
A31;3;100032;100132;ITPC;
A42;3;25250;25350;ITPC;
A6;3;78770;78870;ITPC;
A5;3;134823;134923;ITPC;
A6;3;357450;357550;ITPC;
A31;3;186020;186120;ITPC;
A31;3;188101;188201;ITPC;
A36;3;8800;8900;ITPC;
A36;3;50250;50350;ITPC;
A42;3;18800;18900;ITPC;
A42;3;21150;21250;ITPC;
A77;3;81510;81610;ITPC;
A31;3;650;750;ITPC;
A77;3;98400;98500;ITPC;
A31;3;185791;185891;ITPC;
A6;3;326720;326820;ITPC;
A71;3;355460;355560;ITPC;
A5;3;31680;31780;ITPC;
A5;3;39040;39140;ITPC;
A6;3;75530;75630;ITPC;
A77;3;32950;33050;ITPC;
A39;3;57758;57858;ITPC;
A39;3;59698;59798;ITPC;
A6;3;205950;206050;ITPC;
A6;3;72100;72200;ITPC;
A40;3;204850;204950;ITPC;
A39;3;21060;21160;ITPC;
A714;3;36;136;ITPC;
A71;3;279777;279877;ITPC;
A71;3;280107;280207;ITPC;
A31;3;169560;169660;ITPC;
A31;3;100398;100498;ITPC;
A39;3;106580;106680;ITPC;
A71;3;354240;354340;ITPC;
A36;3;26060;26160;ITPC;
A36;3;122140;122240;ITPC;
A39;3;140055;140155;ITPC;
A71;3;322617;322717;ITPC;
A46;3;23000;23100;ITPC;
A46;3;23800;23900;ITPC;
A40;3;127776;127876;ITPC;
A71;3;239827;239927;ITPC;
A19;3;5600;5700;ITPC;
A6;3;167270;167370;ITPC;
A39;3;8860;8960;ITPC;
A404;3;3204;3304;ITPC;
A36;3;46440;46540;ITPC;
A36;3;48250;48350;ITPC;
A71;3;303687;303787;ITPC;
A71;3;305217;305317;ITPC;
A432;3;22650;22750;ITPC;
A404;3;16621;16721;ITPC;
A31;3;176057;176157;ITPC;
A6;3;189870;189970;ITPC;
A71;3;234967;235067;ITPC;
A31;3;57446;57546;ITPC;
A5;3;111490;111590;ITPC;
A6;3;377950;378050;ITPC;
A6;3;212050;212150;ITPC;
A6;3;175630;175730;ITPC;
A6;3;81230;81330;ITPC;
A36;3;64070;64170;ITPC;
A6;3;124790;124890;ITPC;
A5A;3;5470;5570;ITPC;
A39;3;96040;96140;ITPC;
A39;3;65500;65600;ITPC;
A6;3;278860;278960;ITPC;
A31;3;76100;76200;ITPC;
A432;3;30580;30680;ITPC;
A5;3;30620;30720;ITPC;
A6;3;381990;382090;ITPC;
A6;3;385850;385950;ITPC;
A31;3;119720;119820;ITPC;
A19;3;23350;23450;ITPC;
A71;3;315627;315727;ITPC;
A31;3;99621;99721;ITPC;
A77;3;41950;42050;ITPC;
A77;3;43550;43650;ITPC;
A40;3;102025;102125;ITPC;
A40;3;102600;102700;ITPC;
A31;3;79526;79626;ITPC;
A36;3;197000;197100;ITPC;
A36;3;129580;129680;ITPC;
A36;3;112600;112700;ITPC;
A36;3;114120;114220;ITPC;
A6;3;299230;299330;ITPC;
A6;3;300490;300590;ITPC;
A77;3;12750;12850;ITPC;
A71;3;340317;340417;ITPC;
A5;3;208042;208142;ITPC;
A719;3;7100;7200;ITPC;
A31;3;92684;92784;ITPC;
A31;3;26450;26550;ITPC;
A77;3;14150;14250;ITPC;
A71;3;379090;379190;ITPC;
A71;3;293127;293227;ITPC;
A36;3;136340;136440;ITPC;
A36;3;138010;138110;ITPC;
A36;3;126040;126140;ITPC;
A36;3;127940;128040;ITPC;
A71;3;295287;295387;ITPC;
A71;3;297897;297997;ITPC;
A71;3;361530;361630;ITPC;
A36;3;12340;12440;ITPC;
A31;3;104822;104922;ITPC;
A5;3;131345;131445;ITPC;
A5;3;126878;126978;ITPC;
A39;3;13070;13170;ITPC;
A31;3;2550;2650;ITPC;
A36;3;72630;72730;ITPC;
A71;3;353110;353210;ITPC;
A31;3;175708;175808;ITPC;
A6;3;263990;264090;ITPC;
A6;3;264240;264340;ITPC;
A42;3;25700;25800;ITPC;
A5;3;45460;45560;ITPC;
A5;3;184567;184667;ITPC;
A40;3;188200;188300;ITPC;
A6;3;353620;353720;ITPC;
A36;3;191550;191650;ITPC;
A6;3;136360;136460;ITPC;
A39;3;50818;50918;ITPC;
A19;3;3760;3860;ITPC;
A36;3;52510;52610;ITPC;
A40;3;156900;157000;ITPC;
A31;3;15200;15300;ITPC;
A6;3;284920;285020;ITPC;
A6;3;215330;215430;ITPC;
A6;3;217670;217770;ITPC;
A6;3;287350;287450;ITPC;
A31;3;221165;221265;ITPC;
A31;3;142274;142374;ITPC;
A6;3;294790;294890;ITPC;
A31;3;65801;65901;ITPC;
A31;3;67978;68078;ITPC;
A31;3;124034;124134;ITPC;
A31;3;126317;126417;ITPC;
A31;3;102590;102690;ITPC;
A5;3;68200;68300;ITPC;
A6;3;57250;57350;ITPC;
A6;3;45210;45310;ITPC;
A39;3;55758;55858;ITPC;
A40;3;159510;159610;ITPC;
A42;3;17750;17850;ITPC;
A46;3;20100;20200;ITPC;
A6;3;123850;123950;ITPC;
A6;3;264620;264720;ITPC;
A404;3;13074;13174;ITPC;
A5;3;39190;39290;ITPC;
A36;3;32290;32390;ITPC;
A71;3;377530;377630;ITPC;
A5;3;72880;72980;ITPC;
A71;3;276897;276997;ITPC;
A71;3;278157;278257;ITPC;
A31;3;112980;113080;ITPC;
A36;3;39900;40000;ITPC;
A31;3;212206;212306;ITPC;
A432;3;26800;26900;ITPC;
A36;3;212970;213070;ITPC;
A6;3;306560;306660;ITPC;
A6;3;307000;307100;ITPC;
A6;3;396180;396280;ITPC;
A31;3;118002;118102;ITPC;
A714;3;5430;5530;ITPC;
A39;3;33928;34028;ITPC;
A432;3;11126;11226;ITPC;
A39;3;40648;40748;ITPC;
A39;3;69118;69218;ITPC;
A40;3;174781;174881;ITPC;
A40;3;176557;176657;ITPC;
A40;3;177200;177300;ITPC;
A6;3;243110;243210;ITPC;
A77;3;4590;4690;ITPC;
A36;3;68270;68370;ITPC;
A36;3;70430;70530;ITPC;
A406;3;6550;6650;ITPC;
A406;3;8135;8235;ITPC;
A406;3;8390;8490;ITPC;
A6;3;190450;190550;ITPC;
A6;3;350390;350490;ITPC;
A39;3;63298;63398;ITPC;
A5;3;185210;185310;ITPC;
A71;3;251429;251529;ITPC;
A36;3;116940;117040;ITPC;
A6;3;69900;70000;ITPC;
A39;3;138055;138155;ITPC;
A36;3;74490;74590;ITPC;
A6;3;115450;115550;ITPC;
A6;3;117370;117470;ITPC;
A39;3;48148;48248;ITPC;
A36;3;175685;175785;ITPC;
A36;3;175690;175790;ITPC;
A36;3;82620;82720;ITPC;
A36;3;51840;51940;ITPC;
A39;3;10850;10950;ITPC;
A26;3;377850;377950;ITPC;
A19;3;400;500;ITPC;
A46;3;25150;25250;ITPC;
A6;3;343910;344010;ITPC;
A36;3;149800;149900;ITPC;
A42;3;24700;24800;ITPC;
A6;3;228510;228610;ITPC;
A6;3;230760;230860;ITPC;
A6;3;261200;261300;ITPC;
A6;3;154910;155010;ITPC;
A40;3;189392;189492;ITPC;
A71;3;387051;387151;ITPC;
A77;3;57950;58050;ITPC;
A5;3;142901;143001;ITPC;
A77;3;5830;5930;ITPC;
A719;3;6550;6650;ITPC;
A39;3;24358;24458;ITPC;
A6;3;394650;394750;ITPC;
A77;3;65050;65150;ITPC;
A31;3;59599;59699;ITPC;
A77;3;63750;63850;ITPC;
A31;3;141020;141120;ITPC;
A31;3;162470;162570;ITPC;
A6;3;275580;275680;ITPC;
A36;3;108950;109050;ITPC;
A36;3;111100;111200;ITPC;
A31;3;120020;120120;ITPC;
A404;3;1344;1444;ITPC;
A31;3;122986;123086;ITPC;
A5;3;6880;6980;ITPC;
A36;3;8290;8390;ITPC;
A5;3;155199;155299;ITPC;
A19;3;25150;25250;ITPC;
A36;3;42090;42190;ITPC;
A5;3;100810;100910;ITPC;
A5;3;56320;56420;ITPC;
A5;3;172090;172190;ITPC;
A6;3;333190;333290;ITPC;
A36;3;215450;215550;ITPC;
A26;3;375720;375820;ITPC;
A19;3;16020;16120;ITPC;
A6;3;109470;109570;ITPC;
A6;3;110480;110580;ITPC;
A71;3;213847;213947;ITPC;
A6;3;391960;392060;ITPC;
A77;3;88010;88110;ITPC;
A71;3;309237;309337;ITPC;
A404;3;15481;15581;ITPC;
A6;3;93330;93430;ITPC;
A6;3;94450;94550;ITPC;
A6;3;95320;95420;ITPC;
A5;3;106950;107050;ITPC;
A31;3;190293;190393;ITPC;
A6;3;424650;424750;ITPC;
A31;3;153884;153984;ITPC;
A71;3;236677;236777;ITPC;
A42;3;18550;18650;ITPC;
A71;3;339657;339757;ITPC;
A6;3;400300;400400;ITPC;
A5;3;3220;3320;ITPC;
A5;3;4390;4490;ITPC;
A26;3;386819;386919;ITPC;
A39;3;51778;51878;ITPC;
A39;3;53758;53858;ITPC;
A71;3;217237;217337;ITPC;
A40;3;190924;191024;ITPC;
A404;3;6150;6250;ITPC;
A71;3;211287;211387;ITPC;
A6;3;97400;97500;ITPC;
A6;3;156940;157040;ITPC;
A6;3;355785;355885;ITPC;
A39;3;15870;15970;ITPC;
A36;3;103090;103190;ITPC;
A31;3;131640;131740;ITPC;
A71;3;334617;334717;ITPC;
A6;3;177460;177560;ITPC;
A6;3;179750;179850;ITPC;
A6;3;265950;266050;ITPC;
A5;3;41560;41660;ITPC;
A432;3;6880;6980;ITPC;
A40;3;163790;163890;ITPC;
A42;3;50400;50500;ITPC;
A36;3;53120;53220;ITPC;
A36;3;53420;53520;ITPC;
A6;3;247070;247170;ITPC;
A31;3;100601;100701;ITPC;
A31;3;24750;24850;ITPC;
A404;3;1044;1144;ITPC;
A5;3;31510;31610;ITPC;
A36;3;195390;195490;ITPC;
A40;3;102750;102850;ITPC;
A36;3;189250;189350;ITPC;
A36;3;22180;22280;ITPC;
A6;3;103090;103190;ITPC;
A26;3;393809;393909;ITPC;
A5;3;12340;12440;ITPC;
A36;3;84520;84620;ITPC;
A77;3;6650;6750;ITPC;
A6;3;209300;209400;ITPC;
A6;3;393550;393650;ITPC;
A6;3;91550;91650;ITPC;
A6;3;336650;336750;ITPC;
A6;3;411150;411250;ITPC;
A6;3;122540;122640;ITPC;
A39;3;21900;22000;ITPC;
A39;3;23908;24008;ITPC;
A31;3;77391;77491;ITPC;
A42;3;44950;45050;ITPC;
A6;3;60240;60340;ITPC;
A5;3;153215;153315;ITPC;
A5;3;54070;54170;ITPC;
A5;3;170090;170190;ITPC;
A36;3;59980;60080;ITPC;
A36;3;60670;60770;ITPC;
A31;3;173548;173648;ITPC;
A39;3;7030;7130;ITPC;
A39;3;8640;8740;ITPC;
A39;3;81305;81405;ITPC;
A39;3;104570;104670;ITPC;
A19;3;13550;13650;ITPC;
A31;3;137345;137445;ITPC;
A36;3;52130;52230;ITPC;
A6;3;257900;258000;ITPC;
A46;3;10550;10650;ITPC;
A46;3;1050;1150;ITPC;
A40;3;166950;167050;ITPC;
A5;3;121230;121330;ITPC;
A40;3;182169;182269;ITPC;
A40;3;136940;137040;ITPC;
A42;3;37100;37200;ITPC;
A40;3;134855;134955;ITPC;
A77;3;97690;97790;ITPC;
A39;3;84945;85045;ITPC;
A71;3;365530;365630;ITPC;
A71;3;313467;313567;ITPC;
A36;3;203370;203470;ITPC;
A39;3;137185;137285;ITPC;
A39;3;27358;27458;ITPC;
A71;3;272959;273059;ITPC;
A46;3;22700;22800;ITPC;
