CD_PT_SING_INF__CODE;LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;NOM_USAGE;LIBELLE;COMMENTAIRE
RAU;A6;2;392600;41 42;;
RAU;A71;1;312259;23 17;;
RAU;A31;1;188430;;;
ACCSER;A71;2;351107;;;
RAU;A6;2;294928;33 14;;
RAU;A6;2;203220;31 22;;
RAU;A6;2;442500;42 50;;
RAU;A6;2;90080;12 10;;
ACCSER;A6;1;374300;;;
RAU;A6;2;403250;41 52;;
ACCSER;A39;2;134441;;;
RAU;A39;2;113201;57 64;;
RAU;A39;1;137651;44 121;;
ACCSER;A71;2;215847;;;
ACCSER;A77;2;73010;;;
RAU;A31;2;117870;;;
RAU;A6;1;407295;42 03;;
RAU;A39;2;16269;2-16+4-E;;
RAU;A36;2;152202;54 04;;
RAU;A71;1;256364;22 05;;
RAU;A5;1;58200;15 35;;
RAU;A5;1;115580;;;
RAU;A5;1;176678;;;
ACCSER;A39;2;67743;;;
RAU;A46;2;9090;42 98;;
RAU;A46;2;21615;43 02;;
RAU;A71;2;214292;21 06;;
RAU;A39;2;111204;57 62;;
ACCSER;A39;1;43818;;;
RAU;A6;1;149570;14 27;;
RAU;A39;2;78425;57 26;;
RAU;A71;2;244189;21 36;;
ACCSER;A6;1;241680;;;
RAU;A6;1;98650;12 17;;
RAU;A6;1;438445;42 43;;
RAU;A5;1;142047;;;
RAU;A5;1;81718;15 07;;
RAU;A5;1;91948;;;
RAU;A77;2;77910;18040;;
RAU;A77;2;83490;18046;;
RAU;A39;1;68998;57 15;;
ACCSER;A5;1;47530;;;
RAU;A71;1;224352;21 15;;
ACCSER;A432;2;22100;;;
RAU;A5;2;87060;15 02;;
ACCSER;A40;2;107210;;;
RAU;A5;2;95578;;;
RAU;A71;1;320029;23 25;;
RAU;A39;1;78425;57 25;;
ACCSER;A71;2;322817;;;
RAU;A71;2;377690;24 28;;
RAU;A39;2;22248;54 62;;
RAU;A71;1;280727;22 29;;
RAU;A5;2;226470;;;
RAU;A6;2;65500;11 36;;
RAU;A6;2;114950;12 36;;
ACCSER;A5;2;98185;;;
RAU;A432;2;3764;0377-2;;
ACCSER;A6;2;264785;;;
ACCSER;A31;1;5975;;;
ACCSER;A31;1;24740;;;
ACCSER;A31;1;31270;;;
ACCSER;A31;1;70584;;;
RAU;A31;1;19100;1-19+3;;
ACCSER;A46;2;1800;;;
ACCSER;A31;2;8936;;;
RAU;A31;1;102970;;;
RAU;A19;1;28850;12.79;;
RAU;A5;2;205370;;;
RAU;A46;1;1390;42 61;;
