CD_SERVICE_INF__SERVICE;LIAISON_INF__LIAISON;CD_AIRE_INF__TYPE;CHAUSSEE_INF__SENS;AIRE_INF__ABS_DEB
STATION GONFLAGE;A40;AR;2;115500
STATION GONFLAGE;A40;AR;2;152600
TELEPHONE;A40;AR;2;103000
TELEPHONE;A40;AR;2;115500
TELEPHONE;A40;AR;2;152600
TELEPHONE;A40;AR;2;191150
Vente Liber-t;A40;AR;2;103000
BRUMISATEUR;A40;AS;1;130700
BRUMISATEUR;A40;AS;1;163240
DAB;A40;AS;1;130700
DAB;A40;AS;1;163240
JEUX;A40;AS;1;130700
JEUX;A40;AS;1;163240
MOBILITE REDUITE;A40;AS;1;130700
MOBILITE REDUITE;A40;AS;1;163240
PIQUE_NIQUE;A40;AS;1;130700
PIQUE_NIQUE;A40;AS;1;163240
PRESSE;A40;AS;1;130700
PRESSE;A40;AS;1;163240
PRODUITS_REGIONAUX;A40;AS;1;130700
TELEPHONE;A40;AS;1;130700
TELEPHONE;A40;AS;1;163240
Vente Liber-t;A40;AS;1;130700
BRUMISATEUR;A40;AS;2;163400
Information;A40;AS;2;163400
JEUX;A40;AS;2;130900
JEUX;A40;AS;2;163400
MOBILITE REDUITE;A40;AS;2;130900
MOBILITE REDUITE;A40;AS;2;163400
PARCOURS_DETENTE;A40;AS;2;163400
PIQUE_NIQUE;A40;AS;2;130900
PIQUE_NIQUE;A40;AS;2;163400
PRESSE;A40;AS;2;163400
STATION GONFLAGE;A40;AS;2;130900
STATION GONFLAGE;A40;AS;2;163400
TELEPHONE;A40;AS;2;130900
TELEPHONE;A40;AS;2;163400
VIDANGE;A40;AS;2;163400
JEUX;A404;PB;1;12550
MOBILITE REDUITE;A404;PB;1;12550
PARCOURS_DETENTE;A404;PB;1;12550
PIQUE_NIQUE;A404;PB;1;12550
TELEPHONE;A404;PB;1;12550
DAB;A404;PB;2;12550
JEUX;A404;PB;2;12550
MOBILITE REDUITE;A404;PB;2;12550
PIQUE_NIQUE;A404;PB;2;12550
PRESSE;A404;PB;2;12550
STATION GONFLAGE;A404;PB;2;12550
TABAC;A404;PB;2;12550
TELEPHONE;A404;PB;2;12550
DAB;A42;AR;1;32600
JEUX;A42;AR;1;9800
JEUX;A42;AR;1;32600
MOBILITE REDUITE;A42;AR;1;9800
MOBILITE REDUITE;A42;AR;1;32600
PANORAMA;A42;AR;1;9800
PIQUE_NIQUE;A42;AR;1;9800
PIQUE_NIQUE;A42;AR;1;32600
PRESSE;A42;AR;1;32600
PRODUITS_REGIONAUX;A42;AR;1;32600
STATION GONFLAGE;A42;AR;1;32600
TABAC;A42;AR;1;32600
TELEPHONE;A42;AR;1;9800
TELEPHONE;A42;AR;1;32600
MOBILITE REDUITE;A5;AS;1;30100
MOBILITE REDUITE;A5;AS;1;84980
MOBILITE REDUITE;A5;AS;1;140200
PIQUE_NIQUE;A5;AS;1;30100
PIQUE_NIQUE;A5;AS;1;84980
PIQUE_NIQUE;A5;AS;1;140200
PRESSE;A5;AS;1;30100
PRESSE;A5;AS;1;84980
PRODUITS_REGIONAUX;A5;AS;1;84980
STATION GONFLAGE;A5;AS;1;30100
TABAC;A5;AS;1;30100
TABAC;A5;AS;1;84980
TELEPHONE;A5;AS;1;30100
TELEPHONE;A5;AS;1;84980
TELEPHONE;A5;AS;1;140200
VIDANGE;A5;AS;1;30100
VIDANGE;A5;AS;1;84980
VIDANGE;A5;AS;1;140200
BRUMISATEUR;A5;AS;2;85000
BRUMISATEUR;A5;AS;2;200070
DAB;A5;AS;2;30030
DAB;A5;AS;2;200070
JEUX;A5;AS;2;30030
JEUX;A5;AS;2;85000
JEUX;A5;AS;2;140200
JEUX;A5;AS;2;200070
